model_name,dataset_name,num_train_samples,num_epochs,batch_size,fp16,pue,experiment_id,gpu_type,learning_rate,max_sequence_length,gradient_accumulation_steps,num_gpus,dataset_config,model_parameters
bert-base-uncased,imdb,30000,1,128,TRUE,1.1,8a81dade-1b06-45c8-8422-83ea362a41f0,TPU v2-8,3.00E-05,128,1,1,,110000000
bert-base-uncased,imdb,30000,1,128,TRUE,1.1,2b513aeb-3f5b-4507-9bbe-24c597027cc3,TPU v2-8,5.00E-05,256,1,1,,110000000
bert-base-uncased,imdb,30000,1,128,TRUE,1.1,25743c28-bbf6-4c02-a39b-08666832689c,TPU v2-8,3.00E-05,256,1,1,,110000000
roberta-base,imdb,30000,1,64,TRUE,1.1,d600de6e-d139-41c9-9eaf-641ee4a66be2,TPU v2-8,5.00E-05,128,1,1,,125000000
roberta-base,imdb,30000,1,64,TRUE,1.1,ca801d20-1da5-440d-a2a4-57bf85270f5e,TPU v2-8,3.00E-05,128,1,1,,125000000
roberta-base,imdb,30000,1,64,TRUE,1.1,47060dbc-5b6f-478e-922b-3901013c27b8,TPU v2-8,5.00E-05,256,1,1,,125000000
roberta-base,imdb,30000,1,64,TRUE,1.1,afc62f7a-1b8f-452d-a024-6eb66fed6d37,TPU v2-8,3.00E-05,256,1,1,,125000000
roberta-base,imdb,30000,1,128,TRUE,1.1,da301035-716c-494d-98bf-debfb6634599,TPU v2-8,5.00E-05,128,1,1,,125000000
roberta-base,imdb,30000,1,128,TRUE,1.1,7a3f2b7d-5320-405d-88ab-e6b443cad028,TPU v2-8,3.00E-05,128,1,1,,125000000
roberta-base,imdb,30000,1,128,TRUE,1.1,355cd223-ba4c-4653-a0bb-ef9ac018b4d9,TPU v2-8,5.00E-05,256,1,1,,125000000
roberta-base,imdb,30000,1,128,TRUE,1.1,d30fa668-1666-4c6a-8669-7e67f98fb147,TPU v2-8,3.00E-05,256,1,1,,125000000
t5-small,imdb,50000,1,32,TRUE,1.1,18e48979-b272-4712-a80b-9a4b64961ace,TPU v2-8,2.00E-05,256,1,1,,60000000
t5-small,imdb,50000,1,32,TRUE,1.1,e5b45f45-c37f-4712-a0f5-966e946c7798,TPU v2-8,2.00E-05,512,1,1,,60000000
